project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	aliquot_id	aliquot_submitter_id	aliquot_quantity	aliquot_volume	amount	analyte_type	analyte_type_id	concentration	no_matched_normal_low_pass_wgs	no_matched_normal_targeted_sequencing	no_matched_normal_wgs	no_matched_normal_wxs	selected_normal_low_pass_wgs	selected_normal_targeted_sequencing	selected_normal_wgs	selected_normal_wxs	source_center	state
TCGA-STAD	aa88ce53-8439-40bd-8d93-e1d903d1c7fb	TCGA-HU-A4GD	d455b7cc-07cd-4a4f-80cf-8022870fe994	TCGA-HU-A4GD-01A	71fe913c-bb73-4d89-a641-675f801f3011	TCGA-HU-A4GD-01A-11	0c56d210-915a-49aa-8b42-28e523fba16a	TCGA-HU-A4GD-01A-11R	76b0573d-f699-44c0-b6a5-d29065b38930	TCGA-HU-A4GD-01A-11R-A251-31	'--	'--	'--	'--	'--	0.18	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	aa88ce53-8439-40bd-8d93-e1d903d1c7fb	TCGA-HU-A4GD	d455b7cc-07cd-4a4f-80cf-8022870fe994	TCGA-HU-A4GD-01A	71fe913c-bb73-4d89-a641-675f801f3011	TCGA-HU-A4GD-01A-11	0c56d210-915a-49aa-8b42-28e523fba16a	TCGA-HU-A4GD-01A-11R	e5f319d6-0c5a-4360-9498-7cf2b3bcdcca	TCGA-HU-A4GD-01A-11R-A360-13	'--	'--	'--	'--	'--	0.18	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	aa88ce53-8439-40bd-8d93-e1d903d1c7fb	TCGA-HU-A4GD	d455b7cc-07cd-4a4f-80cf-8022870fe994	TCGA-HU-A4GD-01A	71fe913c-bb73-4d89-a641-675f801f3011	TCGA-HU-A4GD-01A-11	0c56d210-915a-49aa-8b42-28e523fba16a	TCGA-HU-A4GD-01A-11R	2db033eb-20e4-414d-b13c-01df20ac25dc	TCGA-HU-A4GD-01A-11R-A252-13	'--	'--	'--	'--	'--	0.18	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	aa88ce53-8439-40bd-8d93-e1d903d1c7fb	TCGA-HU-A4GD	d455b7cc-07cd-4a4f-80cf-8022870fe994	TCGA-HU-A4GD-01A	71fe913c-bb73-4d89-a641-675f801f3011	TCGA-HU-A4GD-01A-11	590cdb9d-335a-416e-8dea-a9ffd81f3627	TCGA-HU-A4GD-01A-11W	508935ff-d74a-43f6-9d8d-75fb6658bf67	TCGA-HU-A4GD-01A-11W-A27Z-08	'--	'--	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	aa88ce53-8439-40bd-8d93-e1d903d1c7fb	TCGA-HU-A4GD	af85f547-ed14-4223-a0e1-151b01bef64e	TCGA-HU-A4GD-10A	e2956428-cfcd-4790-abb1-8b379671ba07	TCGA-HU-A4GD-10A-01	47e3ce6b-581c-4ab1-8ece-a2ca213d986e	TCGA-HU-A4GD-10A-01D	dd84bb47-9510-4fd5-94e8-3c040b94e1d1	TCGA-HU-A4GD-10A-01D-A255-01	'--	'--	'--	'--	'--	0.15	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	aa88ce53-8439-40bd-8d93-e1d903d1c7fb	TCGA-HU-A4GD	af85f547-ed14-4223-a0e1-151b01bef64e	TCGA-HU-A4GD-10A	e2956428-cfcd-4790-abb1-8b379671ba07	TCGA-HU-A4GD-10A-01	47e3ce6b-581c-4ab1-8ece-a2ca213d986e	TCGA-HU-A4GD-10A-01D	bf189546-e18b-4a55-8d8e-200019850a6e	TCGA-HU-A4GD-10A-01D-A25E-08	'--	'--	'--	'--	'--	0.07	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	aa88ce53-8439-40bd-8d93-e1d903d1c7fb	TCGA-HU-A4GD	af85f547-ed14-4223-a0e1-151b01bef64e	TCGA-HU-A4GD-10A	e2956428-cfcd-4790-abb1-8b379671ba07	TCGA-HU-A4GD-10A-01	6ed58201-cf53-4073-a859-ce4bc53bf2b2	TCGA-HU-A4GD-10A-01W	af374e53-ad10-45f6-a03a-486ce14204a3	TCGA-HU-A4GD-10A-01W-A280-08	'--	'--	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	4ed55013-3853-48ea-909f-7d26d5055637	TCGA-B7-A5TK	58937d2c-b4c3-4992-a95c-d0d1fa73f1a9	TCGA-B7-A5TK-01A	0a88b5ee-a902-40bf-bae0-d24af807f9d9	TCGA-B7-A5TK-01A-12	5c25128b-649a-4be8-aa15-5454e9786074	TCGA-B7-A5TK-01A-12W	756d67f7-14f1-435e-b98c-a7a18dd5f815	TCGA-B7-A5TK-01A-12W-A333-08	'--	'--	'--	'--	'--	0.5	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	4ed55013-3853-48ea-909f-7d26d5055637	TCGA-B7-A5TK	58937d2c-b4c3-4992-a95c-d0d1fa73f1a9	TCGA-B7-A5TK-01A	0a88b5ee-a902-40bf-bae0-d24af807f9d9	TCGA-B7-A5TK-01A-12	58094571-ff87-4d5f-86e0-5da36550a9ab	TCGA-B7-A5TK-01A-12D	846b9e77-5eed-4578-87c3-a0e69cfb1145	TCGA-B7-A5TK-01A-12D-A31L-08	'--	'--	'--	'--	'--	0.08	'--	'--	'--	'--	'--	'--	'--	'--	23	released
TCGA-STAD	4ed55013-3853-48ea-909f-7d26d5055637	TCGA-B7-A5TK	58937d2c-b4c3-4992-a95c-d0d1fa73f1a9	TCGA-B7-A5TK-01A	0a88b5ee-a902-40bf-bae0-d24af807f9d9	TCGA-B7-A5TK-01A-12	58094571-ff87-4d5f-86e0-5da36550a9ab	TCGA-B7-A5TK-01A-12D	379d3b55-f15f-46b3-aeac-3c7bf67bdf1c	TCGA-B7-A5TK-01A-12D-A31M-05	'--	'--	'--	'--	'--	0.16	'--	'--	'--	'--	'--	'--	'--	'--	23	released
