id	filename	md5	size	state
de8e6232-49cf-48ce-814b-f168a1f429b4	3bc29a02-86b5-400e-be79-e6c76552d52b.FPKM-UQ.txt.gz	7e2e7ce22ca5cc24e91b6ae7d9dc6b05	550109	released
aca58f67-1fa5-47d8-9a49-4b2de0590420	52e0e5b5-216f-48fb-816c-133e57cfff6b.htseq.counts.gz	666138182f9ce8f8cad95e2134395bfe	266816	released
4183ca33-46a0-4b84-b88a-2035c967049e	ae43e7b6-18c7-4657-909a-462e102153fb.FPKM.txt.gz	8960357b26524303d4dcaf9a615af4bc	557685	released
82bfe7f9-6f7c-4821-94d0-29a1f4b1126c	8e954ba4-1981-4386-ae95-b0b086ef7b5a_gdc_realn_rehead.bam	3478eed40cd1c97e6f95a775d58698e5	17664958959	released
40866c01-4619-46a8-8b35-6ef42185290c	e36c2135-0868-4b17-b6e8-1c562ce636a4.FPKM-UQ.txt.gz	62d9c368e62a554809f733a5deb276bf	588888	released
fc268f2f-c8eb-4fd5-85e6-6ba800735f4a	ad3d7176-bc4a-4bd3-a3e9-3f62965dd9ba.FPKM.txt.gz	1a1630997bcaf3cd8a38fe99ea6ec9cb	556815	released
ff5d051f-c3af-4531-8ed7-1277d8def50d	60d19fd5-f7dd-4421-b03d-414b31c46daa.FPKM-UQ.txt.gz	8c65b0e8dd6ba56fd567d55c83b53567	572185	released
4dafc436-2cd2-4191-bbb4-10ede0b3f976	28bfefe4-61de-4e9e-8027-686fd9dd425b.FPKM.txt.gz	fb08dce8f6a62b60b1be030efe8e1e46	518022	released
4b4d3b63-589e-48e0-a9e4-ae6277edd6b1	91d27d09-acd2-4527-8ae4-8e7bd3de39e7_gdc_realn_rehead.bam	39a02364ee893a2dd1b45e1a9ee5f7af	10704270090	released
3d7f352f-80b8-4e47-8a86-b0549ddeb058	e33a9800-8c1e-4164-b631-a07be0c39cbc.FPKM.txt.gz	beaf29ebe1fca1eed09d91affd59dfc3	557208	released
b50d633d-6c0a-4321-b7e6-9ed2dc7fcd7d	b7ce107c-d523-4e92-ab0d-e27aa1f799e2.FPKM-UQ.txt.gz	7a6972625f285af4f997139ebec02275	617724	released
4444301a-1012-4477-a03d-e31df5f0937d	ccb080ac-19bf-42fc-8645-ec9a770d6f17.FPKM.txt.gz	a3ec335b2c7630a20851ecd37408864f	524615	released
b418a44a-32da-4345-9134-2e4655497d87	970a3005-f668-494b-99c6-08b56692aaf5.htseq.counts.gz	02fa7719f533d624de23134ad8182934	262135	released
0702cb89-db23-47d2-b701-540f03aaa317	3c79dcc6-cf47-44b7-88a1-561fb66c68a0.htseq.counts.gz	6112017c7a87727980fcb6e3d40f1832	263828	released
f51fffe1-cd4d-4f69-99f8-90ddd842e952	2243d710-52c2-4902-b11c-78ee6024924a.htseq.counts.gz	66cc5b98199616ff885d261501e7dbca	265966	released
